cntry,R07,R08,R09,R10,R11
AT,1795,2010,2499,2003,2354
BE,1769,1766,1767,1341,1594
BG,0,0,2198,2718,2239
CH,1532,1525,1542,1523,1384
CY,0,0,781,875,685
CZ,2148,2269,2398,2476,1805
DE,3045,2852,2358,8725,2420
DK,1502,0,1572,0,0
EE,2051,2019,1904,1542,1293
ES,1925,1958,1668,2283,1844
FI,2087,1925,1755,1577,1563
FR,1917,2070,2010,1977,1771
GB,2264,1959,2204,1149,1684
GR,0,0,0,2799,2757
HR,0,0,1810,1592,1563
HU,1698,1614,1661,1849,2118
IE,2390,2757,2216,1770,2017
IL,2562,2557,0,1308,906
IS,0,880,861,903,842
IT,0,2626,2745,2640,2865
LT,2250,2122,1835,1659,1365
LV,0,0,918,1023,1252
ME,0,0,1200,1278,1609
MK,0,0,0,1429,0
NL,1919,1681,1673,1470,1695
NO,1436,1545,1406,1411,1337
PL,1615,1694,1500,2065,1442
PT,1265,1270,1055,1838,1373
RS,0,0,2043,1505,1563
RU,0,2430,0,0,0
SE,1791,1551,1539,2287,1230
SI,1224,1307,1318,1252,1248
SK,0,0,1083,1418,1442
UA,0,0,0,1531,2661
