"id","varname","type","ESS07","ESS08","ESS09","ESS10","ESS10SC","ESS10UA","ESS11","ESS11SC","flag","values","R07_Y","R08_Y","R09_Y","R10_Y","R11_Y","R07_Z","R08_Z","R09_Z","R10_Z","R11_Z"
1,"eduyrs","Continuous",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,"3,4,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24",12.79,12.911,12.778,12.702,12.936,0.991,0.99,0.986,0.956,0.979
2,"emplno","Continuous",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,15,25,32,70,120",0.582,0.708,0.326,0.424,0.306,0.103,0.105,0.097,0.096,0.108
3,"hhmmb","Continuous",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,20",2.635,2.614,2.553,2.593,2.527,0.997,0.997,0.997,0.988,0.992
4,"njbspv","Continuous",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,"1,2,3,4,5,6,7,9,10,12,20,25,30,64,71,75,90,300,700",7.535,6.569,4.661,5.141,4.339,0.268,0.257,0.261,0.247,0.25
5,"pdjobyr","Continuous",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,"1971,1979,1991,1992,1995,1996,1998,1999,2002,2004,2005,2006,2007,2009,2010,2011,2013,2014,2015",711.195,678.719,700.749,604.106,645.414,0.355,0.338,0.349,0.3,0.321
6,"wkhct","Continuous",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,"7,15,20,21,22,25,27,30,32,38,39,40,48,50,55,60,70,72,84",31.091,30.315,30.168,84.575,29.765,0.848,0.812,0.801,0.823,0.791
7,"wkhtot","Continuous",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,"20,25,30,31,35,38,39,40,42,43,44,45,46,50,55,60,70,72,84",34.301,34.548,33.574,31.83,33.756,0.872,0.856,0.841,0.812,0.85
8,"wkhtotp","Continuous",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,"5,15,18,21,22,25,32,38,39,40,41,45,46,50,55,57,60,70,84",13.701,13.045,13.12,13.073,12.457,0.347,0.327,0.33,0.33,0.321
9,"yrbrn","Continuous",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,"1926,1936,1948,1949,1951,1954,1959,1960,1963,1964,1965,1969,1972,1975,1977,1979,1980,1981,1983,1988",1960.296,1960.396,1958.581,1927.802,1952.056,0.998,0.997,0.996,0.978,0.99
10,"aesfdrk","Likert",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,"1,2,3,4",1.913,1.918,1.907,1.981,1.911,0.99,0.991,0.992,0.99,0.991
11,"euftf","Likert",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,"0,1,2,3,4,5,6,7,8,9,10",4.433,4.501,4.85,5.201,4.928,0.912,0.919,0.922,0.94,0.928
12,"freehms","Likert",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,"1,2,3,4,5",2.007,2.084,2.089,2.037,2.046,0.971,0.973,0.968,0.979,0.976
13,"gincdif","Likert",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,"1,2,3,4,5",2.072,2.103,2.063,2.088,2.05,0.982,0.985,0.981,0.984,0.982
14,"happy","Likert",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,"0,1,2,3,4,5,6,7,8,9,10",7.354,7.407,7.391,7.069,7.336,0.996,0.995,0.996,0.994,0.996
15,"health","Likert",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,"1,2,3,4,5",2.179,2.196,2.205,2.195,2.15,0.999,0.999,0.999,0.996,0.998
16,"imbgeco","Likert",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,"0,1,2,3,4,5,6,7,8,9,10",4.768,4.829,4.965,5.243,5.124,0.965,0.965,0.958,0.971,0.97
17,"imueclt","Likert",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,"0,1,2,3,4,5,6,7,8,9,10",5.424,5.198,5.208,5.406,5.18,0.966,0.968,0.961,0.972,0.972
18,"imwbcnt","Likert",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,"0,1,2,3,4,5,6,7,8,9,10",4.848,4.731,4.834,4.996,4.839,0.962,0.965,0.957,0.967,0.97
19,"iorgact","Likert",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,"0,1,2,3,4,5,6,7,8,9,10",3.94,3.974,3.725,3.877,3.86,0.906,0.908,0.899,0.869,0.887
20,"lrscale","Likert",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,"0,1,2,3,4,5,6,7,8,9,10",4.528,4.482,4.292,4.419,4.417,0.892,0.869,0.854,0.881,0.871
21,"polintr","Likert",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,"1,2,3,4",2.568,2.582,2.656,2.599,2.652,0.997,0.998,0.998,0.997,0.998
22,"pplfair","Likert",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,"0,1,2,3,4,5,6,7,8,9,10",5.764,5.765,5.59,5.446,5.561,0.993,0.993,0.993,0.993,0.994
